Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,7729.009766,7774.120117,7706.140137,7756.180176,1637300,7756.151975
2016-01-21,7713.169922,7748.370117,7664.009766,7664.009766,1763600,7663.9819
2016-01-20,7835.169922,7835.169922,7687.600098,7699.120117,2046500,7699.092124
2016-01-19,7816.450195,7854.879883,7786.77002,7854.879883,1581200,7854.851323
2016-01-18,7678.669922,7834.25,7627.890137,7811.180176,1942500,7811.151775
2016-01-15,7809.00,7842.339844,7708.660156,7762.009766,1991800,7761.981544
2016-01-14,7752.089844,7752.089844,7662.339844,7742.879883,1809100,7742.851731
2016-01-13,7799.560059,7865.97998,7786.330078,7824.609863,1698800,7824.581414
2016-01-12,7807.930176,7851.810059,7732.109863,7768.450195,2027700,7768.42195
2016-01-11,7855.799805,7855.799805,7726.220215,7788.419922,1949300,7788.391604
2016-01-08,7811.200195,7906.549805,7788.709961,7893.970215,1875700,7893.941513
2016-01-07,7963.240234,7980.50,7770.160156,7852.060059,2544700,7852.031509
2016-01-06,8064.25,8076.540039,7948.430176,7990.390137,2040600,7990.361085
2016-01-05,8105.00,8142.640137,8055.959961,8075.109863,1710600,8075.080503
2016-01-04,8315.790039,8326.330078,8109.089844,8114.259766,1717400,8114.230263
2015-12-31,8273.769531,8338.05957,8258.730469,8338.05957,1191500,8338.029254
2015-12-30,8313.370117,8342.339844,8262.519531,8279.990234,1300600,8279.960129
2015-12-29,8349.269531,8351.160156,8286.839844,8293.910156,1186200,8293.880001
2015-12-28,8374.179688,8394.599609,8358.490234,8358.490234,1219000,8358.459844
2015-12-25,8328.94043,8364.299805,8320.099609,8363.280273,1236500,8363.249866
2015-12-24,8351.200195,8393.410156,8324.360352,8324.360352,1710600,8324.330085
2015-12-23,8296.580078,8359.25,8296.580078,8315.700195,1938800,8315.66996
2015-12-22,8283.030273,8316.44043,8261.719727,8292.740234,1832100,8292.710083
2015-12-21,8228.049805,8289.589844,8191.529785,8282.169922,2161800,8282.139809
2015-12-18,8272.410156,8317.480469,8241.320312,8257.320312,1959000,8257.29029
2015-12-17,8214.620117,8319.669922,8214.620117,8319.669922,2194700,8319.639673
2015-12-16,8144.029785,8204.200195,8121.060059,8184.660156,1987800,8184.630398
2015-12-15,8074.47998,8140.060059,8073.350098,8073.350098,1674400,8073.320744
2015-12-14,8058.669922,8068.97998,7980.589844,8040.160156,1808300,8040.130923
2015-12-11,8217.330078,8253.110352,8108.680176,8115.890137,2056200,8115.860628
2015-12-10,8214.269531,8228.429688,8133.419922,8216.169922,2110400,8216.140049
2015-12-09,8329.860352,8343.370117,8229.620117,8229.620117,2149800,8229.590195
2015-12-08,8442.05957,8453.629883,8335.669922,8343.860352,2054400,8343.830014
2015-12-07,8432.469727,8535.360352,8432.469727,8454.269531,1799000,8454.238793
2015-12-04,8423.700195,8423.700195,8355.75,8398.599609,1789400,8398.569073
2015-12-03,8424.540039,8484.519531,8393.290039,8456.05957,1826900,8456.028825
2015-12-02,8475.959961,8497.19043,8441.280273,8457.400391,1939900,8457.369641
2015-12-01,8359.269531,8463.299805,8339.50,8463.299805,1974700,8463.269033
2015-11-30,8339.830078,8339.830078,8239.00,8320.610352,3289700,8320.580099
2015-11-27,8493.179688,8505.080078,8397.490234,8398.400391,1419800,8398.369855
2015-11-26,8411.160156,8510.700195,8411.160156,8484.900391,1659700,8484.869541
2015-11-25,8407.540039,8426.620117,8352.169922,8386.129883,1693600,8386.099392
2015-11-24,8472.240234,8497.830078,8397.44043,8400.139648,1630600,8400.109107
2015-11-23,8480.589844,8503.080078,8450.009766,8485.730469,1530200,8485.699616
2015-11-20,8472.650391,8484.05957,8434.330078,8465.450195,1579100,8465.419416
2015-11-19,8382.089844,8477.200195,8357.200195,8477.200195,1792800,8477.169373
2015-11-18,8432.25,8455.139648,8326.719727,8340.469727,1761600,8340.439402
2015-11-17,8369.139648,8471.889648,8369.139648,8419.419922,1799600,8419.38931
2015-11-16,8278.120117,8312.05957,8217.339844,8295.400391,1820000,8295.37023
2015-11-13,8402.110352,8453.040039,8329.50,8329.50,1693800,8329.469715
2015-11-12,8426.759766,8467.30957,8374.070312,8428.089844,1541900,8428.0592
2015-11-11,8543.629883,8557.69043,8415.009766,8415.009766,1930600,8414.97917
2015-11-10,8614.549805,8614.549805,8529.540039,8536.900391,1703500,8536.869351
2015-11-09,8702.669922,8746.280273,8623.700195,8642.480469,1754100,8642.449046
2015-11-06,8857.610352,8857.610352,8671.889648,8693.570312,2240500,8693.538704
2015-11-05,8858.730469,8871.870117,8828.040039,8850.179688,1999200,8850.147509
2015-11-04,8759.94043,8864.169922,8754.179688,8857.019531,2620400,8856.987328
2015-11-03,8643.209961,8728.05957,8643.209961,8713.19043,2018200,8713.15875
2015-11-02,8571.530273,8614.769531,8524.009766,8614.769531,1570900,8614.738209
2015-10-30,8578.25,8586.900391,8503.69043,8554.30957,1963300,8554.278468
2015-10-29,8682.580078,8704.589844,8568.129883,8571.080078,1985000,8571.048915
2015-10-28,8679.240234,8714.009766,8632.379883,8665.990234,1784700,8665.958726
2015-10-27,8724.00,8733.530273,8662.769531,8701.320312,1841000,8701.288676
2015-10-26,8706.80957,8757.139648,8706.80957,8745.360352,1778100,8745.328554
2015-10-23,8671.519531,8740.080078,8662.030273,8673.80957,1974500,8673.778033
2015-10-22,8600.400391,8631.169922,8594.209961,8608.459961,1675200,8608.428662
2015-10-21,8668.080078,8690.389648,8591.419922,8609.230469,2022800,8609.199167
2015-10-20,8651.080078,8663.120117,8618.480469,8653.599609,1994500,8653.568146
2015-10-19,8628.790039,8670.320312,8603.080078,8631.50,1765400,8631.468617
2015-10-16,8596.429688,8627.830078,8574.639648,8604.950195,2165800,8604.918909
2015-10-15,8573.379883,8652.469727,8573.379883,8601.519531,2055300,8601.488257
2015-10-14,8545.139648,8553.870117,8515.530273,8522.509766,1941200,8522.478779
2015-10-13,8571.570312,8574.110352,8518.410156,8567.919922,1877100,8567.88877
2015-10-12,8478.339844,8578.219727,8478.339844,8573.719727,2081500,8573.688554
2015-10-08,8528.459961,8544.929688,8434.50,8445.959961,1977700,8445.929252
2015-10-07,8398.530273,8495.230469,8385.040039,8495.230469,2089300,8495.199581
2015-10-06,8409.30957,8482.830078,8390.889648,8394.099609,2193800,8394.069089
2015-10-05,8342.990234,8364.589844,8316.830078,8352.360352,1933400,8352.329983
2015-10-02,8290.429688,8320.660156,8253.75,8305.030273,1758800,8305.000077
2015-10-01,8194.299805,8317.790039,8170.779785,8295.94043,2108700,8295.910267
2015-09-30,8097.149902,8181.240234,8059.680176,8181.240234,2283600,8181.210488
2015-09-25,8131.490234,8152.50,8061.870117,8132.350098,1654300,8132.320529
2015-09-24,8224.230469,8257.139648,8101.899902,8123.100098,1964900,8123.070563
2015-09-23,8310.820312,8310.820312,8186.220215,8193.419922,1933600,8193.390132
2015-09-22,8331.44043,8365.919922,8325.780273,8365.919922,1758200,8365.889504
2015-09-21,8404.50,8404.50,8285.429688,8307.040039,1810100,8307.009836
2015-09-18,8427.519531,8488.530273,8399.709961,8462.139648,2296800,8462.108881
2015-09-17,8377.30957,8467.150391,8377.30957,8445.50,2321600,8445.469293
2015-09-16,8298.129883,8342.360352,8276.94043,8333.290039,1864800,8333.25974
2015-09-15,8320.219727,8327.950195,8226.070312,8259.990234,1622000,8259.960202
2015-09-14,8332.570312,8360.030273,8259.30957,8307.290039,1769100,8307.259835
2015-09-11,8271.25,8313.179688,8233.139648,8305.820312,1841800,8305.790114
2015-09-10,8247.639648,8274.820312,8214.50,8268.679688,2036300,8268.649624
2015-09-09,8097.220215,8296.129883,8097.220215,8286.919922,2746900,8286.889792
2015-09-08,7993.100098,8031.259766,7978.779785,8001.50,1503100,8001.470907
2015-09-07,7990.759766,8053.200195,7957.799805,7986.560059,1496400,7986.53102
2015-09-04,8087.620117,8128.22998,7990.859863,8000.600098,2329400,8000.571008
